INFO  2015-03-23 10:36:37,091   102ms Logger                 Application_Start  - Startting MVC
DEBUG 2015-03-31 20:43:09,109 250787ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-31 20:43:39,124 280802ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-31 20:44:09,139 310817ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-31 20:44:39,156 340834ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-31 20:45:09,168 370846ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-31 20:45:39,182 400860ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-31 20:46:09,197 430875ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-31 20:46:39,225 460903ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-31 20:47:09,226 490904ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-31 20:47:39,240 520918ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-31 20:48:09,270 550948ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-31 20:48:39,275 580953ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-31 20:49:09,286 610964ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
INFO  2015-03-31 20:59:21,660   725ms Logger                 Application_Start  - Startting MVC
DEBUG 2015-03-31 21:01:11,651 110715ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 14 operations
DEBUG 2015-03-31 21:01:41,646 140710ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 4 operations
DEBUG 2015-03-31 21:02:11,660 170725ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-31 21:02:41,675 200740ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 3 operations
DEBUG 2015-03-31 21:03:11,690 230754ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-31 21:03:41,705 260769ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-31 21:04:11,719 290784ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-31 21:04:41,733 320797ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-31 21:05:11,748 350812ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-31 21:05:41,762 380827ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-31 21:06:11,777 410842ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-31 21:06:41,792 440856ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-31 21:07:11,807 470871ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-31 21:07:41,821 500886ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-31 21:08:11,836 530901ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-31 21:08:41,851 560915ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-31 21:09:11,865 590929ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 3 operations
DEBUG 2015-03-31 21:09:41,880 620945ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 2 operations
DEBUG 2015-03-31 21:10:11,894 650958ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 3 operations
DEBUG 2015-03-31 21:10:41,910 680974ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 5 operations
DEBUG 2015-03-31 21:11:11,923 710988ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-31 21:11:41,938 741003ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 3 operations
DEBUG 2015-03-31 21:13:51,085 870150ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 3 operations
DEBUG 2015-03-31 21:14:21,090 900155ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 5 operations
DEBUG 2015-03-31 21:14:51,105 930169ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 2 operations
DEBUG 2015-03-31 21:15:21,120 960184ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-31 21:15:51,134 990199ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-31 21:17:06,893 1065957ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 3 operations
DEBUG 2015-03-31 21:19:51,399 1230464ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 3 operations
DEBUG 2015-03-31 21:20:21,406 1260470ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-31 21:20:51,422 1290486ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-31 21:21:21,435 1320500ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-31 21:21:51,449 1350513ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-31 21:22:21,464 1380528ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-31 21:22:51,479 1410544ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-31 21:23:21,493 1440558ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-31 21:23:51,510 1470574ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-31 21:24:21,523 1500587ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-31 21:24:51,539 1530604ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-31 21:25:21,552 1560616ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-31 21:25:51,567 1590631ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-31 21:26:21,580 1620645ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-31 21:26:51,598 1650663ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-31 21:27:21,610 1680674ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-31 21:27:51,627 1710691ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-31 21:28:21,639 1740704ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-31 21:28:51,654 1770718ms Logger                 Configuration>b__4 - Redis connection DefaultConnection had 0 operations
INFO  2015-03-31 22:12:16,222   109ms Logger                 Application_Start  - Startting MVC
DEBUG 2015-03-31 22:12:47,451 31338ms Logger                 Configuration>b__6 - Redis connection DefaultConnection had 18 operations
DEBUG 2015-03-31 22:13:17,461 61348ms Logger                 Configuration>b__6 - Redis connection DefaultConnection had 4 operations
DEBUG 2015-03-31 22:13:47,475 91362ms Logger                 Configuration>b__6 - Redis connection DefaultConnection had 22 operations
DEBUG 2015-03-31 22:14:50,231 154118ms Logger                 Configuration>b__6 - Redis connection DefaultConnection had 3 operations
DEBUG 2015-03-31 22:15:20,235 184122ms Logger                 Configuration>b__6 - Redis connection DefaultConnection had 3 operations
DEBUG 2015-03-31 22:15:50,248 214135ms Logger                 Configuration>b__6 - Redis connection DefaultConnection had 3 operations
DEBUG 2015-03-31 22:16:20,265 244152ms Logger                 Configuration>b__6 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-31 22:16:50,278 274165ms Logger                 Configuration>b__6 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-31 22:17:20,293 304179ms Logger                 Configuration>b__6 - Redis connection DefaultConnection had 5 operations
DEBUG 2015-03-31 22:17:50,307 334194ms Logger                 Configuration>b__6 - Redis connection DefaultConnection had 3 operations
INFO  2015-03-31 22:18:15,803   744ms Logger                 Application_Start  - Startting MVC
DEBUG 2015-03-31 22:18:46,414 31354ms Logger                 Configuration>b__6 - Redis connection DefaultConnection had 21 operations
DEBUG 2015-03-31 22:19:16,419 61360ms Logger                 Configuration>b__6 - Redis connection DefaultConnection had 6 operations
DEBUG 2015-03-31 22:19:46,434 91374ms Logger                 Configuration>b__6 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-31 22:20:16,449 121389ms Logger                 Configuration>b__6 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-31 22:20:46,464 151404ms Logger                 Configuration>b__6 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-31 22:21:16,478 181418ms Logger                 Configuration>b__6 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-31 22:21:46,492 211432ms Logger                 Configuration>b__6 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-31 22:22:16,507 241447ms Logger                 Configuration>b__6 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-31 22:22:46,521 271462ms Logger                 Configuration>b__6 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-31 22:23:16,536 301476ms Logger                 Configuration>b__6 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-31 22:23:46,551 331491ms Logger                 Configuration>b__6 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-31 22:24:16,566 361506ms Logger                 Configuration>b__6 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-31 22:24:46,580 391520ms Logger                 Configuration>b__6 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-31 22:25:16,595 421535ms Logger                 Configuration>b__6 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-31 22:25:46,609 451549ms Logger                 Configuration>b__6 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-31 22:26:16,623 481564ms Logger                 Configuration>b__6 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-31 22:26:46,638 511578ms Logger                 Configuration>b__6 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-31 22:27:16,653 541593ms Logger                 Configuration>b__6 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-31 22:27:46,668 571608ms Logger                 Configuration>b__6 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-31 22:28:16,682 601623ms Logger                 Configuration>b__6 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-31 22:28:46,697 631637ms Logger                 Configuration>b__6 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-31 22:29:16,712 661652ms Logger                 Configuration>b__6 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-31 22:29:46,725 691666ms Logger                 Configuration>b__6 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-31 22:30:16,740 721680ms Logger                 Configuration>b__6 - Redis connection DefaultConnection had 1 operations
DEBUG 2015-03-31 22:30:46,755 751695ms Logger                 Configuration>b__6 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-31 22:31:16,770 781710ms Logger                 Configuration>b__6 - Redis connection DefaultConnection had 0 operations
DEBUG 2015-03-31 22:31:46,784 811725ms Logger                 Configuration>b__6 - Redis connection DefaultConnection had 1 operations
